question_id,question,answer_a,answer_b
0,What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
1,What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
2,What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
3,What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
4,What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
5,What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
6,What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
7,What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
8,What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
9,What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline. [""No document corpus found. Add .md or .txt files under docs/.""]"
